ID,quizz,question,choix1,choix2,choix3,choix4,bonne,explication,type,theme,palier,actif,palierProvisoire,veille,source
csp-0001,csp,Quelle est la devise de la République française ?,"Paix, Travail, Patrie","Liberté, Égalité, Fraternité","Unité, Justice, Progrès",Ordre et Progrès,3,"« Liberté, Égalité, Fraternité » est la devise officielle de la République, inscrite à l'article 2 de la Constitution.",simple,Principes et valeurs de la République,1,VRAI,,,"Constitution, art. 2"
csp-0002,csp,Quel est l'hymne national français ?,Le Chant du départ,La Marseillaise,L'Internationale,Le Chant des partisans,3,"La Marseillaise, composée par Rouget de Lisle en 1792, est l'hymne national depuis 1795, confirmé par la Constitution de 1958.",simple,Principes et valeurs de la République,1,VRAI,,,"Constitution, art. 2"
csp-0003,csp,Quelle est la capitale de la France ?,Lyon,Marseille,Paris,Bordeaux,4,Paris est la capitale de la France et le siège des principales institutions nationales.,simple,Système institutionnel et politique,1,VRAI,,,Notoriété
csp-0004,csp,Que signifie la laïcité en France ?,L'interdiction de toute religion dans l'espace public,"La neutralité de l'État, qui garantit à chacun la liberté de croire ou de ne pas croire",La reconnaissance officielle des principaux cultes,L'obligation de déclarer sa religion à l'état civil,3,"La loi de 1905 sépare les Églises et l'État : l'État ne reconnaît ni ne salarie aucun culte, et garantit la liberté de conscience de chacun.",simple,Principes et valeurs de la République,1,VRAI,,,Loi du 9 décembre 1905
csp-0005,csp,"Qui dirige le gouvernement, au quotidien, en France ?",Le Président de la République,Le Premier ministre,Le président de l'Assemblée nationale,Le maire de Paris,3,Le Premier ministre dirige l'action du gouvernement ; il est nommé par le Président et responsable devant l'Assemblée nationale.,simple,Système institutionnel et politique,1,VRAI,,,"Constitution, art. 21"
csp-0006,csp,Le vote est-il obligatoire en France ?,"Oui, sous peine d'amende","Non, c'est un droit et non une obligation","Oui, mais seulement à l'élection présidentielle","Non, le vote est réservé aux plus de 25 ans",2,"Voter est un droit civique, pas une obligation légale — contrairement à la Belgique ou au Luxembourg, où l'abstention est sanctionnée.",simple,Droits et devoirs des citoyens,1,VRAI,,,Code électoral
csp-0007,csp,À partir de quel âge la scolarité est-elle obligatoire en France ?,3 ans,5 ans,6 ans,7 ans,1,"Depuis la rentrée 2019, l'instruction est obligatoire de 3 à 16 ans.",simple,Droits et devoirs des citoyens,1,VRAI,,,"Code de l'éducation, art. L131-1"
csp-0008,csp,Que célèbre-t-on le 14 juillet ?,L'armistice de 1918,La prise de la Bastille et la fête de la Fédération,La libération de Paris,L'abolition de l'esclavage,2,La fête nationale commémore la prise de la Bastille du 14 juillet 1789 et la fête de la Fédération du 14 juillet 1790.,simple,"Histoire, géographie et culture",1,VRAI,,,Notoriété historique
csp-0009,csp,Quel numéro appeler en France pour une urgence médicale ?,15,17,18,112,1,"Le 15 joint le SAMU. Le 17 est réservé à la police, le 18 aux pompiers, et le 112 est le numéro d'urgence européen unique, valable pour toutes les urgences.",simple,Vivre dans la société française,1,VRAI,,,service-public.fr
csp-0010,csp,Qui élit le maire d'une commune ?,"Les habitants, directement","Le conseil municipal, parmi ses membres",Le préfet,Le conseil départemental,2,"Les habitants élisent le conseil municipal, qui élit ensuite le maire en son sein lors de sa première séance.",simple,Système institutionnel et politique,1,VRAI,,,Code général des collectivités territoriales
csp-0011,csp,Combien de temps dure le mandat du Président de la République ?,4 ans,"5 ans, deux fois consécutives au plus","7 ans, renouvelable une fois","5 ans, sans limite de mandats",2,"Depuis la réforme de 2000, le mandat présidentiel dure cinq ans. La révision de 2008 limite à deux le nombre de mandats consécutifs.",simple,Système institutionnel et politique,2,VRAI,,,"Constitution, art. 6"
csp-0012,csp,Comment s'appellent les deux chambres du Parlement français ?,L'Assemblée nationale et le Sénat,La Chambre des députés et le Congrès,Le Conseil d'État et la Cour de cassation,L'Assemblée nationale et le Conseil constitutionnel,1,"Le Parlement est composé de l'Assemblée nationale, élue au suffrage direct, et du Sénat, élu au suffrage indirect.",simple,Système institutionnel et politique,2,VRAI,,,"Constitution, art. 24"
csp-0013,csp,Le port du titre de séjour peut-il être demandé par les forces de l'ordre ?,"Oui, lors d'un contrôle d'identité","Non, jamais",Seulement sur rendez-vous en préfecture,Seulement pour les mineurs,1,"Un étranger doit pouvoir présenter son titre de séjour lors d'un contrôle d'identité, au même titre qu'un document d'identité.",simple,Droits et devoirs des citoyens,2,VRAI,,,Code de l'entrée et du séjour des étrangers et du droit d'asile (CESEDA)
csp-0014,csp,Comment obtient-on un numéro de sécurité sociale en France ?,Il est attribué automatiquement à la naissance ou lors de l'affiliation,Il faut l'acheter,Il est identique pour tout un foyer,Seuls les salariés en ont un,1,"Le numéro de sécurité sociale est attribué par l'Assurance maladie, à la naissance pour les personnes nées en France ou lors de la première affiliation pour les autres.",simple,Vivre dans la société française,2,VRAI,,,ameli.fr
csp-0015,csp,Un salarié peut-il refuser une discrimination à l'embauche fondée sur l'origine ?,"Non, l'employeur choisit librement","Oui, la discrimination à l'embauche est un délit puni par la loi","Oui, mais seulement dans la fonction publique","Non, sauf accord du syndicat",2,"Écarter un candidat en raison de son origine est une discrimination, punie par le code pénal et le code du travail.",simple,Droits et devoirs des citoyens,2,VRAI,,,"Code pénal, art. 225-1 et 225-2"
csp-0016,csp,Que garantit la liberté d'expression en France ?,Le droit de dire n'importe quoi sans limite,"Le droit de communiquer ses opinions, dans les limites fixées par la loi (diffamation, injure, incitation à la haine)",Un droit réservé aux journalistes,Un droit suspendu en période électorale,2,"La liberté d'expression, garantie par la Déclaration des droits de l'homme de 1789, connaît des limites légales : diffamation, injure et incitation à la haine restent punissables.",simple,Principes et valeurs de la République,2,VRAI,,,"DDHC 1789, art. 11 ; loi du 29 juillet 1881"
